ID,Name,Command,Extract,Comparator,Reference Value
1a,tach_var_ra_khoi_source - detect RDO,dmidecode -t system | grep -w RDO,raw,non_empty,
1b,tach_var_ra_khoi_source - /var partition present,grep -w '\s/var\s' /etc/fstab,raw,non_empty,
2a,phan_vung_ud_ko_nam_chung_source - app partitions exist,grep -Ev '^\s*#' /etc/fstab | grep -Ewv '/$|/var$|/dev/shm$|/home$|/usr$|/proc$|/sys$|/dev/pts$|/opt$|swap|/boot$|/boot/efi$',raw,non_empty,
3a,timezone,date +'%Z %z',regex:([+\-]\d{4}),eq,700
4a,sudoers1 - '%sudo ALL=(ALL:ALL) ALL' must NOT exist,grep -Ev '^\s*#' /etc/sudoers | egrep -E '^\s*%sudo\s+ALL=\(ALL:ALL\)\s+ALL',raw,empty,
5a,sudoers2 - '%admin ALL=(ALL) ALL' must NOT exist,grep -Ev '^\s*#' /etc/sudoers | egrep -E '^\s*%admin\s+ALL=\(ALL\)\s+ALL',raw,empty,
6a,sudoers3 - per user rule must NOT exist (user={{user}}),grep -Ev '^\s*#' /etc/sudoers | egrep -w '^{{user}}\b' | grep -F 'ALL=(ALL:ALL) ALL',raw,empty,
7a,ud_ko_dung_root - ensure no root java/tomcat/jre/jdk/kubelet,ps -ef | grep '^root ' | egrep 'java|tomcat|jre|jdk|kubelet' | grep -v grep,raw,empty,
8a,duphong_bond1 - ensure no root java/tomcat/jre/jdk/kubelet,ps -ef | grep '^root ' | egrep 'java|tomcat|jre|jdk|kubelet' | grep -v grep,raw,empty,
9a,duphong_bond2 - detect VMware/RDO,dmidecode -t system | egrep -w 'VMware|RDO',raw,non_empty,
9b,duphong_bond2 - bonds count >= 1 (physical only),ip -o link show | awk -F': ' '{print $2}' | sed 's/@.*//' | grep -E '^bond[0-9]+$' | wc -l,raw,int_ge,1
9c,duphong_bond2 - bond {{bond}} has >=2 slaves,grep -c '^Slave Interface' /proc/net/bonding/{{bond}},raw,int_ge,2
9d,duphong_bond2 - each slave of {{bond}} is up,awk '/^Slave Interface:/{f=1;next} f&&/^MII Status:/{print $3;f=0}' /proc/net/bonding/{{bond}},per_line:raw,per_line:in,up
10a,duphong_bond3 - detect VMware/RDO,dmidecode -t system | egrep -w 'VMware|RDO',raw,non_empty,
10b,duphong_bond3 - bonds count >= 1 (physical only),ip -o link show | awk -F': ' '{print $2}' | sed 's/@.*//' | grep -E '^bond[0-9]+$' | wc -l,raw,int_ge,1
10c,duphong_bond3 - bond {{bond}} mode allowed,grep -E '^Bonding Mode:' /proc/net/bonding/{{bond}} | awk -F': ' '{print $2}' | awk '{print $1}',raw,in,round-robin|active-backup|balance-xor|broadcast|802.3ad|balance-tlb|balance-alb
11a,san_multipath - list devices,"dmsetup status | awk '$3!=""linear""{print $1}' | sed 's/://g' | grep -v 'p[0-9]$' | grep -v No",per_line:raw,per_line:non_empty,
