Command Name,Command,Reference Value
1. Check tach_var_ra_khoi_source - a,"dmidecode -t system | grep -wE 'RDO'",Get list/check prerequisite
1. Check tach_var_ra_khoi_source - b,"grep -w '\s/var\s' /etc/fstab",Empty result
2. Check phan_vung_ud_ko_nam_chung_source - a,"grep -Ev '^\s*#' /etc/fstab | grep -Ewv '/$|/var$|/dev/shm$|/home$|/usr$|/proc$|/sys$|/dev/pts$|/opt$|swap|/boot$|/boot/efi$'",Empty result
3. Check timezone - a,"date +'%Z %z' | grep -w '+0700'",Contains '+0700'
4. Check sudoers1 - a,"echo -e '%wheel\tALL=(ALL)\tALL'",Get list/check prerequisite
4. Check sudoers1 - b,"grep -Ev '^\s*#' /etc/sudoers | grep -F '{{ standard }}'",Empty result
5. Check sudoers2 - a,"echo -e 'ALL=(ALL)\tALL'",Get list/check prerequisite
5. Check sudoers2 - b,"awk -F: '($7==\"/bin/bash\" && $3>=400 && $1!=\"nfsnobody\"){print $1}' /etc/passwd",Empty result
5. Check sudoers2 - c,"grep -Ev '^\s*#' /etc/sudoers | grep -w '{{ i }}' | grep -F '{{ standard }}'",Empty result
6. Check sudoers3 - a,"echo -e 'ALL=(ALL)  NOPASSWD: ALL'",Get list/check prerequisite
6. Check sudoers3 - b,"awk -F: '($7==\"/bin/bash\" && $3>=400 && $1!=\"nfsnobody\"){print $1}' /etc/passwd",Empty result
6. Check sudoers3 - c,"grep -Ev '^\s*#' /etc/sudoers | grep -w '{{ i }}' | grep -F '{{ standard }}'",Empty result
7. Check ud_ko_dung_root - a,"ps -eo user,comm | awk '$1==\"root\" && $2 ~ /(java|tomcat|jre|jdk|kubelet)/{print}'",Empty result
8. Check duphong_bond1 - a,"dmidecode -t system | grep -wE 'VMware|RDO'",Get list/check prerequisite
8. Check duphong_bond1 - b,"ip -o link show | awk -F': ' '{print $2}' | grep -E '^bond[0-9]($|@)' | sed 's/@.*//'",Empty result
8. Check duphong_bond1 - c,"grep -c '^Slave Interface' /proc/net/bonding/{{ i }}",Empty result
8. Check duphong_bond1 - d,"awk '/^Slave Interface/{print $3}' /proc/net/bonding/{{ i }}",Empty result
8. Check duphong_bond1 - e,"awk -v IF='{{ j }}' 'f&&/^MII Status/{print $3;f=0} /^Slave Interface: /{f=($3==IF)}' /proc/net/bonding/{{ i }}",Empty result
9. Check duphong_bond2 - a,"dmidecode -t system | grep -wE 'VMware|RDO'",Get list/check prerequisite
9. Check duphong_bond2 - b,"ip -o link show | awk -F': ' '{print $2}' | grep -E '^bond[0-9]($|@)' | sed 's/@.*//'",Empty result
9. Check duphong_bond2 - c,"awk -F': ' '/^Bonding Mode:/{print $2}' /proc/net/bonding/{{ i }} | grep -oE 'balance-rr|active-backup|balance-xor|broadcast|802\.3ad|balance-tlb|balance-alb'",Empty result
9. Check duphong_bond2 - d,"grep -F 'Bonding Mode' /proc/net/bonding/{{ i }}",Empty result
10. Check san_multipath - a,"dmsetup status | grep -vw linear | awk '{print $1}' | sed -e 's/://g' | grep -v 'p[0-9]$' | grep -v '^$'",Get list/check prerequisite
10. Check san_multipath - b,"multipath -ll {{ line }} | grep -c 'running$'",Empty result
11. Check kdump_service - a,"systemctl status kdump.service 2>/dev/null | grep 'Active: active'",Empty result
12. Check sendmail_off - a,"systemctl status sendmail 2>/dev/null | grep 'Active: active'",Empty result
13. Check postfix_off - a,"systemctl status postfix 2>/dev/null | grep 'Active: active'",Empty result
14. Check hearbeat_port - a,"ip -o link show {{ line }} | grep -w 'mtu 9000'",Empty result
15. Check bo_card_mang_ao - a,"ip -o link show | awk -F': ' '{print $2}' | grep -w 'virbr0'",Get list/check prerequisite
15. Check bo_card_mang_ao - b,"grep -Ev '^\s*#' /etc/selinux/config | grep -w 'SELINUX='",Empty result
15. Check bo_card_mang_ao - c,"sestatus 2>/dev/null | grep -F 'Current mode' | grep -w enforcing",Empty result
17. Check nf_conntrack_max - a,"cat /proc/sys/net/nf_conntrack_max",Empty result
18. Check hashsize - a,"cat /proc/sys/net/netfilter/nf_conntrack_buckets",Empty result
19. Check pass_never_expired - a,"awk -F: '($7==\"/bin/bash\" && $3>=1000 && $1!=\"nobody\"){print $1}' /etc/passwd",Get list/check prerequisite
19. Check pass_never_expired - b,"chage -l {{ user }} | awk -F': ' '/Password expires/{print $2}' | awk '{print $1}'",Specific value match
20. Check max_open_file_user - a,"awk -F: '($7==\"/bin/bash\" && $3>=400 && $1!=\"nfsnobody\"){print $1}' /etc/passwd",Get list/check prerequisite
20. Check max_open_file_user - b,"grep -Ev '^\s*#' /etc/security/limits.conf | awk -v U='{{ user }}' '$0 ~ (\"^\" U \"\\s\") && $2!=\"soft\" && $3==\"nofile\"'",Non-empty result
21. Check max_process_user - a,"awk -F: '($7==\"/bin/bash\" && $3>=400 && $1!=\"nfsnobody\"){print $1}' /etc/passwd",Get list/check prerequisite
21. Check max_process_user - b,"grep -Ev '^\s*#' /etc/security/limits.conf | awk -v U='{{ user }}' '$0 ~ (\"^\" U \"\\s\") && $2!=\"soft\" && $3==\"nproc\"'",Non-empty result
22. Check max_open_file_user - a,"cat /proc/sys/fs/file-max",Get list/check prerequisite
22. Check max_open_file_user - b,"grep -Ev '^\s*#' /etc/sysctl.conf | grep -w 'fs.file-max'",Non-empty result
23. Check bluetooth_off - a,"systemctl status bluetooth 2>/dev/null | grep 'Active: active'",Empty result
24. Check cupsd_off - a,"systemctl status cups 2>/dev/null | grep 'Active: active'",Empty result
25. Check per_user_trong_groupsudo1 - a,"grep -Ev '^\s*#' /etc/pam.d/su | grep -w auth | grep -w required | grep -w pam_wheel.so",Empty result
26. Check per_user_trong_groupsudo2 - a,"awk -F: '($7==\"/bin/bash\" && $3>=400 && $1!=\"nfsnobody\"){print $1}' /etc/passwd",Get list/check prerequisite
26. Check per_user_trong_groupsudo2 - b,"getent group wheel | awk -F: '{print $4}' | tr ',' '\n' | grep -w '{{ user }}'",Empty result
27. Check password1 - a,"grep -Ev '^\s*#' /etc/security/pwquality.conf | grep -w 'minlen\s*=\s*8'",Empty result
