Command Name,Command,Reference Value
1. Check tach_var_ra_khoi_source - 1a,"dmidecode -t system | grep -wE 'RDO|VMware'",Empty result (no VMware/RDO)
1. Check tach_var_ra_khoi_source - 1b,"grep -w '\s/var\s' /etc/fstab",Non-empty result (partition exists)
2. Check phan_vung_ud_ko_nam_chung_source - 2a,"grep -Ev '^\s*#' /etc/fstab | grep -Ewv '/$|/var$|/dev/shm$|/home$|/usr$|/proc$|/sys$|/dev/pts$|/opt$|swap|/boot$|/boot/efi$'",Non-empty result (application partitions exist)
3. Check timezone - 3a,"date +'%Z %z' | grep -w '+0700'",Contains '+0700'
4. Check sudoers1 - 4a,"grep -Ev '^\s*#' /etc/sudoers | grep -F '%sudo	ALL=(ALL:ALL) ALL'",Empty result (rule not exists)
5. Check sudoers2 - 5a,"grep -Ev '^\s*#' /etc/sudoers | grep -F '%admin ALL=(ALL) ALL'",Empty result (rule not exists)
6. Check sudoers3 - 6a,"awk -F: '($7 ~ /sh$/ && $3>=1000){print $1}' /etc/passwd",List of users with shell access
6. Check sudoers3 - 6b,"grep -Ev '^\s*#' /etc/sudoers | grep -w '{{ user }}' | grep -F 'ALL=(ALL:ALL) ALL'",Empty result for each user
7. Check ud_ko_dung_root - 7a,"ps -eo user,comm | awk '$1==\"root\" && $2 ~ /(java|tomcat|jre|jdk|kubelet)/{print}'",Empty result (no root processes)
8. Check duphong_bond1 - 8a,"ps -eo user,comm | awk '$1==\"root\" && $2 ~ /(java|tomcat|jre|jdk|kubelet)/{print}'",Empty result (no root processes)
9. Check duphong_bond2 - 9a,"dmidecode -t system | grep -wE 'VMware|RDO'",Contains VMware or RDO
9. Check duphong_bond2 - 9b,"ip -o link show | awk -F': ' '{print $2}' | grep -E '^bond[0-9]($|@)' | sed 's/@.*//'",List of bond interfaces
9. Check duphong_bond2 - 9c,"grep -c '^Slave Interface' /proc/net/bonding/{{ bond }}",">= 2"
9. Check duphong_bond2 - 9d,"awk -v IFACE='{{ interface }}' 'f&&/^MII Status/{print $3;f=0} /^Slave Interface: /{f=($3==IFACE)}' /proc/net/bonding/{{ bond }}","'up' for each interface"
10. Check duphong_bond3 - 10a,"dmidecode -t system | grep -wE 'VMware|RDO'",Contains VMware or RDO
10. Check duphong_bond3 - 10b,"ip -o link show | awk -F': ' '{print $2}' | grep -E '^bond[0-9]($|@)' | sed 's/@.*//'",List of bond interfaces
